task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
gaussian_mixture,10⁵,9,REJ-ABC,0.7955,0.0012718439,1.0879807,,0.023518836498260497,9.199479606803434,327ac2b7-8cde-42ad-a70a-a6e6fd0b7f05
lotka_volterra,10⁵,8,NPE,0.9858,0.43241557,20.037846,-9.236973762512207,,19.09637612385665,82ad1da8-3c07-42c8-ad35-ccfa84703c1a
bernoulli_glm_raw,10⁴,7,SNLE,0.9474,0.28924584,4.7958317,,48.9484130859375,12.155491623732054,784f6b55-f576-44c0-9f2c-b7eae6c91791
slcp,10⁵,1,NPE,0.91545,0.017503023,20.17764,4.697919845581055,52.72578938802084,15.115867111067633,32f39bdb-00d6-4cf8-a6e7-1cd1f4b6c0f1
sir,10⁴,10,SNLE,0.81035,0.22529459,45.127594,,11.366356404622396,15.5047823254945,91dd8d4a-4b50-458f-903d-90fcb5c21b4a
gaussian_linear_uniform,10⁵,9,NPE,0.5118,0.0014051199,1.2981458,-0.7677727341651917,35.38835856119792,3.6891025042364083,953e27c4-a913-4638-9e59-44d3bf12d0bf
gaussian_linear_uniform,10⁴,5,SNRE,0.5947,0.0045102835,1.3277023,,16.097535196940104,5.4740958976925125,bfc04ec9-fb36-49dc-b87f-c2c5e1eaf1b7
bernoulli_glm,10⁵,3,SNRE,0.53575,0.003771782,10.695183,,119.43203125,11.758770653075251,99d5af6a-eba5-4fbe-9108-fcdc1fc189a9
sir,10³,2,NLE,0.79175,0.2237938,29.180471,,4.205772908528647,16.317509711731187,de3dabd7-87a6-49f8-be4d-820f25d4b092
lotka_volterra,10⁴,5,SNLE,0.66935,0.039294124,14.794565,,18.24440714518229,17.841563145870744,705abf57-3f36-4d3c-97dd-b1a2da140fce
lotka_volterra,10⁵,7,REJ-ABC,0.9998,0.6569239,30.577305,,9.16497090657552,19.830318026751687,5f7e05ad-00a6-4ab8-a176-9ae5bc211a1d
two_moons,10⁴,7,SMC-ABC,0.66495,0.0011786222,0.09139212,,0.034483846028645834,inf,6bfd6a3a-ee3a-4f33-8f80-7a1c7fa6e73c
slcp_distractors,10⁴,6,NRE,0.9481,0.14162731,347.99445,,4.558778381347656,,4f9e88f3-1c52-42f6-9ed4-36cb1a6a97e0
gaussian_linear_uniform,10⁴,9,SMC-ABC,0.9221,0.1229707,1.2891097,,0.03570570945739746,9.480880659947617,4412b3e5-575f-4ad3-bc34-e77c21d26d9c
bernoulli_glm_raw,10³,9,REJ-ABC,0.9936,0.4161293,5.0,,0.024520774682362877,10.051342311726119,f4b11250-7082-4137-a331-9437bf22a259
gaussian_mixture,10⁵,8,SMC-ABC,0.6838,0.012941837,1.0410627,,0.16193726857503254,8.671342785528621,26425da3-2965-4fae-8a06-499144d4b15a
lotka_volterra,10⁴,7,REJ-ABC,1.0,0.6079823000000001,42.302887,,1.2807537078857425,19.444411894984672,d5e61db4-9968-4931-9c5a-6656f9cdf819
